REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,PLANTAIN,223,6.1,1360
CENTRAL,MFANTSIMAN,1993,PLANTAIN,65,6.11,397
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,PLANTAIN,155,6.1,945
CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,PLANTAIN,275,6.1,1678
CENTRAL,AGONA,1993,PLANTAIN,1257,6.1,7668
VOLTA,KPANDO,1993,COCOYAM,350,6,2100
VOLTA,HOHOE MUNICIPAL,1993,COCOYAM,480,5.83,2800
VOLTA,JASIKAN,1993,COCOYAM,1800,6.1,10980
VOLTA,KADJEBI,1993,COCOYAM,1200,6.5,7800
VOLTA,NKWANTA,1993,COCOYAM,1000,7,7000
VOLTA,HO MUNICIPAL,1993,COCOYAM,700,5,3500
VOLTA,KPANDO,1993,PLANTAIN,250,6.52,1630
VOLTA,HOHOE MUNICIPAL,1993,PLANTAIN,300,6.5,1950
VOLTA,JASIKAN,1993,PLANTAIN,1000,6.5,6500
VOLTA,KADJEBI,1993,PLANTAIN,1200,6.8,8160
VOLTA,NKWANTA,1993,PLANTAIN,1000,7.5,7500
VOLTA,HO MUNICIPAL,1993,PLANTAIN,100,5,500
ASHANTI,BEKWAI MUNI (AMANSIE EAST),1993,COCOYAM,4000,8.2,32800
ASHANTI,AMANSIE WEST,1993,COCOYAM,2500,10.9,27250
ASHANTI,EJURA SEKYEREDUMASE,1993,COCOYAM,1000,7.1,7100
ASHANTI,SEKYERE WEST ,1993,COCOYAM,3600,8,28800
ASHANTI,SEKYERE EAST,1993,COCOYAM,3200,8,25600
ASHANTI,AFIGYA SEKYERE,1993,COCOYAM,3100,10.8,33480
ASHANTI,AHAFO ANO NORTH,1993,COCOYAM,1000,7.8,7800
ASHANTI,AHAFO ANO SOUTH,1993,COCOYAM,3500,10,35000
ASHANTI,ATWIMA,1993,COCOYAM,15500,10.2,158100
ASHANTI,EJUSU JUABEN,1993,COCOYAM,1800,7.8,14040
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1993,COCOYAM,1500,7.2,10800
ASHANTI,KWABRE ,1993,COCOYAM,1500,7.7,11550
ASHANTI,OFFINSO,1993,COCOYAM,4300,7.4,31820
ASHANTI,ADANSI WEST,1993,COCOYAM,3500,7.3,25550
ASHANTI,ADANSI  SOUTH,1993,COCOYAM,2600,7.5,19500
ASHANTI,ASANTE AKIM NORTH,1993,COCOYAM,2000,7.8,15600
ASHANTI,ASANTE AKIM SOUTH,1993,COCOYAM,2400,7.8,18720
ASHANTI,BEKWAI MUNI (AMANSIE EAST),1993,PLANTAIN,1700,6.2,10540
ASHANTI,AMANSIE WEST,1993,PLANTAIN,4800,8.2,39360
ASHANTI,SEKYERE WEST ,1993,PLANTAIN,2000,8.8,17600
ASHANTI,SEKYERE EAST,1993,PLANTAIN,2700,7.1,19170
ASHANTI,AFIGYA SEKYERE,1993,PLANTAIN,3000,6.8,20400
ASHANTI,AHAFO ANO NORTH,1993,PLANTAIN,3800,8,30400
ASHANTI,AHAFO ANO SOUTH,1993,PLANTAIN,2900,8,23200
ASHANTI,ATWIMA,1993,PLANTAIN,11500,12,138000
ASHANTI,EJUSU JUABEN,1993,PLANTAIN,1600,8.3,13280
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1993,PLANTAIN,1900,5,9500
ASHANTI,KWABRE ,1993,PLANTAIN,1700,6.7,11390
ASHANTI,OFFINSO,1993,PLANTAIN,2200,10,22000
ASHANTI,ADANSI WEST,1993,PLANTAIN,2400,4.1,9840
ASHANTI,ADANSI  SOUTH,1993,PLANTAIN,1900,7.2,13680
ASHANTI,ASANTE AKIM NORTH,1993,PLANTAIN,2500,7.6,19000
ASHANTI,ASANTE AKIM SOUTH,1993,PLANTAIN,2000,7,14000
EASTERN,BIRIM SOUTH,1993,COCOYAM,8000,6.6,52800
EASTERN,WEST AKIM,1993,COCOYAM,9200,6.6,60700
EASTERN,SUHUM KRABOA COALTAR,1993,COCOYAM,2000,6.6,13200
EASTERN,AKUAPIM SOUTH,1993,COCOYAM,100,7,700
EASTERN,AKUAPIM NORTH,1993,COCOYAM,2000,6.6,13200
EASTERN,NEW JUABEN,1993,COCOYAM,100,7,700
EASTERN,YILO KROBO,1993,COCOYAM,2000,6.6,13200
EASTERN,EAST AKIM,1993,COCOYAM,7200,6.6,47500
EASTERN,KWAEBIBIREM,1993,COCOYAM,6000,6.6,39600
EASTERN,BIRIM NORTH,1993,COCOYAM,3000,6.6,19800
EASTERN,KWAHU SOUTH,1993,COCOYAM,1600,6.63,10600
EASTERN,FANTEAKWA,1993,COCOYAM,9200,6.6,60700
EASTERN,KWAHU NORTH,1993,COCOYAM,100,7,700
EASTERN,ASUOGYAMAN,1993,COCOYAM,50,6,300
EASTERN,MANYA KROBO,1993,COCOYAM,50,6,300
EASTERN,BIRIM SOUTH,1993,PLANTAIN,8600,8,68800
EASTERN,WEST AKIM,1993,PLANTAIN,9200,8,73600
EASTERN,SUHUM KRABOA COALTAR,1993,PLANTAIN,9600,8,76800
EASTERN,AKUAPIM SOUTH,1993,PLANTAIN,700,8,5600
